ticket,time_setup,time_setup_msc,time_done,time_done_msc,time_expiration,type,type_time,type_filling,state,magic,position_id,position_by_id,reason,volume_initial,volume_current,price_open,sl,tp,price_current,price_stoplimit,symbol,comment,external_id
1654683833,1727771137,1727771137925,1727771137,1727771137926,0,1,0,0,4,0,1654683833,0,1,0.02,0.0,0.0,0.0,0.0,2643.708,0.0,XAUUSDm,,
1654684564,1727771163,1727771163205,1727773027,1727773027095,0,3,0,2,4,0,1654684564,0,1,0.02,0.0,2645.4,2647.8,0.0,2645.424,0.0,XAUUSDm,,
1654684989,1727771174,1727771174775,1727771269,1727771269187,0,3,0,2,4,0,1654684989,0,1,0.02,0.0,2644.4,2647.8,0.0,2644.404,0.0,XAUUSDm,,
1654685180,1727771182,1727771182733,1727771182,1727771182735,0,1,0,0,4,0,1654685180,0,1,0.02,0.0,0.0,0.0,0.0,2644.01,0.0,XAUUSDm,,
1654686140,1727771219,1727771219526,1727771219,1727771219527,0,1,0,0,4,0,1654686140,0,1,0.02,0.0,0.0,0.0,0.0,2644.083,0.0,XAUUSDm,,
1654766457,1727773908,1727773908508,1727773908,1727773908510,0,0,0,1,4,0,1654683549,0,4,0.02,0.0,2647.8,0.0,0.0,2647.8,0.0,XAUUSDm,[sl 2647.800],
1654766459,1727773908,1727773908508,1727773908,1727773908512,0,0,0,1,4,0,1654683833,0,4,0.02,0.0,2647.8,0.0,0.0,2647.8,0.0,XAUUSDm,[sl 2647.800],
1654766460,1727773908,1727773908508,1727773908,1727773908512,0,0,0,1,4,0,1654684564,0,4,0.02,0.0,2647.8,0.0,0.0,2647.8,0.0,XAUUSDm,[sl 2647.800],
1654766461,1727773908,1727773908508,1727773908,1727773908512,0,0,0,1,4,0,1654684989,0,4,0.02,0.0,2647.8,0.0,0.0,2647.8,0.0,XAUUSDm,[sl 2647.800],
1654766462,1727773908,1727773908508,1727773908,1727773908513,0,0,0,1,4,0,1654685180,0,4,0.02,0.0,2647.8,0.0,0.0,2647.8,0.0,XAUUSDm,[sl 2647.800],
1654766464,1727773908,1727773908508,1727773908,1727773908514,0,0,0,1,4,0,1654686140,0,4,0.02,0.0,2647.8,0.0,0.0,2647.8,0.0,XAUUSDm,[sl 2647.800],
1655058455,1727782966,1727782966788,1727783220,1727783220776,0,3,0,2,4,0,1655058455,0,1,0.02,0.0,2649.4,2653.8,0.0,2649.408,0.0,XAUUSDm,,
1655058758,1727782981,1727782981945,1727783471,1727783471810,0,3,0,2,4,0,1655058758,0,1,0.02,0.0,2650.4,2653.8,0.0,2650.42,0.0,XAUUSDm,,
1655059073,1727782993,1727782993275,1727783636,1727783636037,0,3,0,2,4,0,1655059073,0,1,0.02,0.0,2651.4,2653.8,0.0,2651.406,0.0,XAUUSDm,,
1655060291,1727783026,1727783026054,1727783220,1727783220776,0,3,0,2,4,0,1655060291,0,1,0.02,0.0,2649.4,2653.8,0.0,2649.408,0.0,XAUUSDm,,
1655060784,1727783042,1727783042438,1727783372,1727783372437,0,3,0,2,2,0,0,0,1,0.02,0.02,2650.4,2653.8,0.0,2650.09,0.0,XAUUSDm,,
1655071032,1727783300,1727783300390,1727783300,1727783300391,0,1,0,0,4,0,1655071032,0,1,0.02,0.0,0.0,0.0,0.0,2650.216,0.0,XAUUSDm,,
1655073185,1727783374,1727783374639,1727783374,1727783374640,0,1,0,0,4,0,1655073185,0,1,0.02,0.0,0.0,0.0,0.0,2650.092,0.0,XAUUSDm,,
1655128036,1727784534,1727784534236,1727784534,1727784534240,0,0,0,1,4,0,1655058455,0,4,0.02,0.0,2653.8,0.0,0.0,2653.8,0.0,XAUUSDm,[sl 2653.800],
1655128039,1727784534,1727784534236,1727784534,1727784534238,0,0,0,1,4,0,1655058758,0,4,0.02,0.0,2653.8,0.0,0.0,2653.8,0.0,XAUUSDm,[sl 2653.800],
1655128041,1727784534,1727784534236,1727784534,1727784534240,0,0,0,1,4,0,1655059073,0,4,0.02,0.0,2653.8,0.0,0.0,2653.8,0.0,XAUUSDm,[sl 2653.800],
1655128043,1727784534,1727784534236,1727784534,1727784534241,0,0,0,1,4,0,1655060291,0,4,0.02,0.0,2653.8,0.0,0.0,2653.8,0.0,XAUUSDm,[sl 2653.800],
1655128045,1727784534,1727784534236,1727784534,1727784534241,0,0,0,1,4,0,1655071032,0,4,0.02,0.0,2653.8,0.0,0.0,2653.8,0.0,XAUUSDm,[sl 2653.800],
1655128046,1727784534,1727784534236,1727784534,1727784534243,0,0,0,1,4,0,1655073185,0,4,0.02,0.0,2653.8,0.0,0.0,2653.8,0.0,XAUUSDm,[sl 2653.800],
1659103204,1727874750,1727874750183,1727874750,1727874750184,0,0,0,0,4,0,1659103204,0,1,0.04,0.0,0.0,0.0,0.0,2651.699,0.0,XAUUSDm,,
1659106992,1727874836,1727874836245,1727874836,1727874836246,0,0,0,0,4,0,1659106992,0,1,0.02,0.0,0.0,0.0,0.0,2651.873,0.0,XAUUSDm,,
1659112503,1727874962,1727874962914,1727874962,1727874962915,0,0,0,0,4,0,1659112503,0,1,0.02,0.0,0.0,0.0,0.0,2651.949,0.0,XAUUSDm,,
1659254265,1727876562,1727876562304,1727876562,1727876562305,0,0,0,0,4,0,1659254265,0,1,0.02,0.0,0.0,0.0,0.0,2654.424,0.0,XAUUSDm,,
1659483730,1727879244,1727879244642,1727879244,1727879244643,0,0,0,0,4,0,1659483730,0,1,0.02,0.0,0.0,0.0,0.0,2655.877,0.0,XAUUSDm,,
1659485762,1727879269,1727879269720,1727879269,1727879269721,0,0,0,0,4,0,1659485762,0,1,0.02,0.0,0.0,0.0,0.0,2655.646,0.0,XAUUSDm,,
1659629166,1727881140,1727881140975,1727881140,1727881140977,0,1,0,1,4,0,1659483730,0,6,0.02,0.0,2648.158,0.0,0.0,2648.158,0.0,XAUUSDm,[so 0.00%/-0.20/0.00],
1659629177,1727881140,1727881140978,1727881140,1727881140979,0,1,0,1,4,0,1659485762,0,6,0.02,0.0,2648.158,0.0,0.0,2648.158,0.0,XAUUSDm,[so 0.00%/-0.20/0.00],
1659629178,1727881140,1727881140980,1727881140,1727881140981,0,1,0,1,4,0,1659103204,0,6,0.04,0.0,2648.158,0.0,0.0,2648.158,0.0,XAUUSDm,[so 0.00%/-0.20/0.00],
1659629179,1727881140,1727881140982,1727881140,1727881140983,0,1,0,1,4,0,1659254265,0,6,0.02,0.0,2648.158,0.0,0.0,2648.158,0.0,XAUUSDm,[so 0.00%/-0.20/0.00],
